id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento
1,José Chávez Pérez,jose.chavez.perez1@gmail.com,Hombre,11/24/2011,SanMiguel,
2,Daniela Rojas Ortiz,daniela.rojas.ortiz2@seguro.sv,,1/2/1980,Sta. Ana,
3,Ricardo Cruz Flores,ricardo.cruz.flores3@example.com,Masculino,6/18/1979,S. Miguel,
4,María Pérez Pérez,maria.perez.perez4@correo.com,Masculino,9/29/1960,LaLibertad,REGULAR
5,Fernanda Chávez Rojas,fernanda.chavez.rojas5@seguro.sv,,8/2/1945, San Salvador ,Pyme
6,Ricardo López Vásquez,ricardo.lopez.vasquez6@seguro.sv,Hombre,10/15/1966,sonsonate,PYME
7,Diego Flores Rojas,diego.flores.rojas0@example.com,m,27-07-1983,SantaAna,Premium
8,Karla Ortiz López,karla.ortiz.lopez1@mail.com,M,8/5/1975,SantaAna,Premium
9,Juan Flores Morales,juan.flores.morales2@example.com,femenino,14-05-1969,SanMiguel,Regular
10,María Aguilar López,maria.aguilar.lopez3@example.com,Masculino,3/14/2007,San Salvador,PREMIUM
11,Sofía López Torres,sofia.lopez.torres4@seguro.sv,m,9/2/1953,sonsonate,PYME
12,Valeria Vásquez Gómez,valeria.vasquez.gomez5@mail.com,Fem,5/10/1994, San Salvador ,VIP
13,Carlos Santos Morales,carlos.santos.morales6@correo.com,M,8/2/1975,Santa Ana,Regular
14,Karla Hernández Santos,karla.hernandez.santos0@gmail.com,,3/19/2010, San Salvador ,REGULAR
15,Ana Rojas Aguilar,ana.rojas.aguilar1@example.com,m,20-06-1949,SantaAna,Premium
16,Daniela Flores Torres,daniela.flores.torres2@seguro.sv,,4/7/2012,Sonso,REGULAR
17,Diego García Flores,diego.garcia.flores3@seguro.sv,Mujer,6/10/1980,L. Libertad,VIP
18,Ricardo Reyes Gómez,ricardo.reyes.gomez4@example.com,femenino,9/28/1983,Sonso,
19,Ana Mendoza Ramírez,ana.mendoza.ramirez5@seguro.sv,,9/6/1947,SantaAna,PYME
20,Paula López García,paula.lopez.garcia6@correo.com,Female,5/25/1966,SanMiguel,
21,Daniela Vásquez Rojas,daniela.vasquez.rojas0@example.com,,12/2/2006,S. Miguel,PREMIUM
22,José Ramírez Reyes,jose.ramirez.reyes1@correo.com,Masculino,22/09/1950,L. Libertad,
23,Daniela Torres Castillo,daniela.torres.castillo2@example.com,Masculino,1/7/1949,Sta. Ana,VIP
24,Fernanda Pérez Flores,fernanda.perez.flores3@gmail.com,Female,31/01/1944,La Libertad,VIP
25,Jorge Castillo Aguilar,jorge.castillo.aguilar4@correo.com,F,12/12/1982,La Libertad,vip
26,Lucía Aguilar García,lucia.aguilar.garcia5@mail.com,Fem,7/10/1991,Sonso,vip
27,Diego Hernández Ortiz,diego.hernandez.ortiz6@gmail.com,Mujer,31/07/2008,Sonsonate ,PYME
28,Paula Castillo Santos,paula.castillo.santos0@gmail.com,F,6/21/1978,San salvador,PREMIUM
29,Valeria García Gómez,valeria.garcia.gomez1@mail.com,Fem,7/8/1961,LaLibertad,
30,Ricardo Castillo Martínez,ricardo.castillo.martinez2@example.com,,10/7/1960,Sta. Ana,
31,Sofía Rojas Hernández,sofia.rojas.hernandez3@correo.com,Female,8/11/1988,San Salvador,Premium
32,Carlos Torres Santos,carlos.torres.santos4@seguro.sv,Female,22-11-1965, San Miguel ,
33,Ricardo Chávez García,ricardo.chavez.garcia5@seguro.sv,femenino,8/26/1993,San Miguel,vip
34,Diego Santos Santos,diego.santos.santos6@example.com,Mujer,11/10/1941,SantaAna,
35,Paula Flores Gómez,paula.flores.gomez0@seguro.sv,M,6/7/1992,SanMiguel,REGULAR
36,Marta Hernández Gómez,marta.hernandez.gomez1@seguro.sv,Female,3/8/1969,Sonsonate,PYME
37,María Reyes Flores,maria.reyes.flores2@seguro.sv,Hombre,1/1/1969,Sonsonate ,Pyme
38,Juan Ramírez Mendoza,juan.ramirez.mendoza3@seguro.sv,m,15-06-1972,San salvador,Regular
39,Fernanda Pérez Castillo,fernanda.perez.castillo4@seguro.sv,M,4/22/1979,sonsonate,Premium
40,Carlos Ortiz López,carlos.ortiz.lopez5@correo.com,M,18-07-1989,San salvador,PYME
41,Carlos Mendoza Flores,carlos.mendoza.flores6@seguro.sv,Masculino,10/4/1977,sonsonate,Pyme
42,Sofía Torres Mendoza,sofia.torres.mendoza0@mail.com,Female,14-12-2006, San Miguel ,Regular
43,Ana Castillo Castillo,ana.castillo.castillo1@seguro.sv,Fem,27-08-1992,Sonsonate ,REGULAR
44,Marta Ortiz Ortiz,marta.ortiz.ortiz2@example.com,Masculino,3/11/1973,Sonsonate ,PREMIUM
